title,ingredients,steps,cuisine,diet,difficulty,image_url
Spicy Chicken Biryani,"Basmati rice, chicken pieces, yogurt, onions, tomatoes, garlic paste, ginger paste, green chilies, biryani masala (cinnamon, cloves, cardamom), coriander leaves, mint leaves, saffron soaked in milk, ghee, oil, salt","Marinate Chicken: Mix chicken pieces with yogurt, ginger-garlic paste, green chilies, biryani masala, and salt. Let it marinate for at least 1 hour. Prepare Rice: Wash basmati rice thoroughly. Boil water with salt and whole spices (cinnamon, cloves, cardamom). Add rice and cook until 70% done. Drain and set aside. Fry Onions: Thinly slice onions and fry in oil or ghee until golden brown. Remove half for garnishing. Cook Chicken: In the remaining oil, add marinated chicken and cook until tender and oil separates. Layering: In a heavy-bottomed pot, layer half the cooked rice, then the cooked chicken, sprinkle fried onions, chopped coriander and mint leaves, and saffron milk. Repeat with remaining rice and toppings. Dum Cooking: Cover the pot tightly with a lid or foil. Cook on low heat (dum) for 25-30 minutes to let flavors meld. Serve: Gently fluff the biryani and serve hot with raita or salad.",Indian,Non-Veg,Medium,images/img1.jpg
Paneer Butter Masala,"Paneer cubes, butter, tomatoes, cream, cashew nuts, ginger paste, garlic paste, red chili powder, garam masala, kasuri methi (dried fenugreek leaves), sugar, salt","Prepare Tomato Gravy: Boil tomatoes and cashew nuts, then blend into a smooth paste. Cook Base: Heat butter in a pan. Add ginger and garlic paste, sauté until fragrant. Add Tomato Paste: Pour in the tomato-cashew paste, cook for 5-7 minutes until oil separates. Spice it Up: Add red chili powder, garam masala, sugar, and salt. Mix well. Add Cream: Stir in cream and cook for another 2-3 minutes on low heat. Add Paneer: Add paneer cubes, coat gently with the gravy, cook for 5 minutes. Finish: Crush kasuri methi between your palms and sprinkle on top. Mix gently. Serve: Serve hot with naan, roti, or rice.",Indian,Veg,Medium,images/img2.jpg
Vegetable Pulao,"Basmati rice, mixed vegetables (carrots, peas, beans, potatoes), onions, ginger paste, garlic paste, whole spices (bay leaf, cinnamon, cloves, cardamom), ghee, oil, green chilies, coriander leaves, salt","Prep Rice: Wash basmati rice thoroughly and soak for 20-30 minutes. Cook Vegetables: Heat ghee and oil in a pan. Add whole spices (bay leaf, cinnamon, cloves, cardamom) and sauté until fragrant. Add chopped onions and sauté until translucent. Add Ginger-Garlic and Chilies: Add ginger and garlic paste along with slit green chilies. Cook for a minute. Add Vegetables: Add mixed vegetables and sauté for 3-4 minutes. Add Rice: Drain the soaked rice and add it to the pan. Stir gently to mix. Add Water and Salt: Add water (usually 1.5 to 2 times the quantity of rice) and salt to taste. Bring to a boil. Cook Rice: Cover with a lid and cook on low heat until rice is done and water is absorbed (about 15-20 minutes). Garnish and Serve: Fluff the rice gently with a fork. Garnish with chopped coriander leaves and serve hot.",Indian,Veg,Easy,images/img3.jpg
Chole Bhature,"Chickpeas (soaked overnight), onions, tomatoes, ginger paste, garlic paste, green chilies, chole masala, cumin, coriander, amchur, garam masala, oil, salt, turmeric powder, red chili powder, asafoetida (hing), bay leaf, cinnamon stick, cloves, maida (refined flour), yogurt, baking powder, sugar, water (for dough and cooking), oil (for frying)","Cook Chickpeas: Drain soaked chickpeas and pressure cook with water, salt, bay leaf, cinnamon stick, and cloves until soft. Prepare Chole Masala: Heat oil in a pan, add asafoetida, chopped onions, sauté until golden. Add ginger-garlic paste and green chilies, cook till aroma fades. Add Tomatoes & Spices: Add chopped tomatoes, turmeric powder, red chili powder, chole masala, cumin, coriander, amchur, garam masala. Cook until oil separates. Simmer Chickpeas: Add cooked chickpeas with cooking water, simmer for 15-20 minutes until thickened. Garnish with coriander leaves. Prepare Bhature Dough: Mix maida, sugar, salt, baking powder, yogurt, and water. Knead into soft dough. Rest 1-2 hours. Roll and Fry Bhature: Divide dough into balls, roll into circles, deep fry in hot oil until puffed and golden. Serve: Serve hot bhature with spicy chole.",Indian,Veg,Easy,images/img4.jpg
Aloo Paratha,"Whole wheat flour, boiled potatoes, green chilies, coriander leaves, cumin powder, garam masala, salt, ghee or oil","Prepare Dough: Mix whole wheat flour with water and a pinch of salt to make a soft dough. Rest for 15-20 minutes. Prepare Filling: Mash boiled potatoes. Add finely chopped green chilies, coriander leaves, cumin powder, garam masala, and salt. Mix well. Stuff Paratha: Divide dough and potato filling into equal portions. Roll out a dough ball slightly, place filling in center, seal edges, and roll again into a flat circle. Cook Paratha: Heat a tawa or skillet. Cook rolled paratha on medium heat, applying ghee or oil on both sides until golden brown spots appear. Serve: Serve hot with yogurt, pickle, or butter.",Indian,Veg,Easy,images/img5.jpg
Masala Dosa,"Dosa batter (fermented rice and urad dal), potatoes, mustard seeds, curry leaves, green chilies, ginger, onions, turmeric powder, salt, oil","Prepare Potato Filling: Boil potatoes and mash them. Heat oil in a pan, add mustard seeds and let them splutter. Add Aromatics: Add curry leaves, chopped green chilies, grated ginger, and sliced onions. Sauté until onions are translucent. Spice the Filling: Add turmeric powder and salt. Mix in mashed potatoes and cook for 2-3 minutes. Set aside. Prepare Dosa: Heat a non-stick pan or tawa. Pour a ladle of dosa batter and spread thinly in a circular motion. Cook Dosa: Drizzle oil around edges. Cook until the dosa turns golden and crisp. Assemble: Place a spoonful of potato filling on one side of the dosa and fold. Serve: Serve hot with coconut chutney and sambar.",Indian,Veg,Easy,images/img6.jpg
Rajma Chawal,"Kidney beans (rajma) soaked overnight, onions, tomatoes, ginger paste, garlic paste, garam masala, cumin seeds, oil, salt, turmeric powder, red chili powder, rice","Cook Rajma: Drain soaked kidney beans and pressure cook with water, salt, and turmeric until soft. Prepare Masala: Heat oil in a pan. Add cumin seeds and let them splutter. Add chopped onions and sauté until golden. Add Ginger-Garlic: Add ginger and garlic paste, cook until raw smell disappears. Add Tomatoes & Spices: Add chopped tomatoes, red chili powder, and salt. Cook until oil separates. Combine Rajma & Masala: Add cooked rajma along with its water. Mix well and simmer for 15-20 minutes for flavors to blend. Cook Rice: Prepare plain steamed rice separately. Serve: Serve rajma hot with steamed rice (chawal).",Indian,Veg,Easy,images/img7.jpg
Butter Chicken,"Chicken, butter, tomatoes, cream, ginger paste, garlic paste, kasuri methi (dried fenugreek leaves), red chili powder, garam masala, yogurt, oil, salt","Marinate Chicken: Mix chicken pieces with yogurt, ginger-garlic paste, red chili powder, garam masala, and salt. Marinate for at least 1 hour. Cook Chicken: Heat oil and a little butter in a pan. Cook the marinated chicken until almost done. Set aside. Prepare Tomato Gravy: In the same pan, add butter, ginger-garlic paste, and sauté until fragrant. Add pureed tomatoes and cook until oil separates. Add Spices: Add red chili powder, garam masala, and salt. Mix well. Combine Chicken and Gravy: Add cooked chicken to the gravy. Simmer for 10-15 minutes. Add Cream and Kasuri Methi: Stir in cream and crushed kasuri methi. Cook for another 5 minutes on low heat. Serve: Serve hot with naan or rice.",Indian,Non-Veg,Medium,images/img8.jpg
Palak Paneer,"Spinach (palak), paneer, onions, tomatoes, ginger paste, garlic paste, green chilies, cumin seeds, cream (optional), oil or ghee, salt","Blanch Spinach: Boil water and blanch spinach leaves for 2-3 minutes. Drain and immediately transfer to cold water. Blend into a smooth puree. Prepare Masala: Heat oil or ghee in a pan. Add cumin seeds and let them splutter. Add finely chopped onions and sauté until golden. Add Ginger-Garlic: Add ginger and garlic paste, sauté until raw smell disappears. Add Tomatoes: Add chopped tomatoes and cook until soft and oil separates. Add Spinach Puree: Pour in the spinach puree and mix well. Cook for 5-7 minutes. Add Paneer: Add paneer cubes and salt. Mix gently and cook for another 5 minutes. Add Cream (Optional): Stir in cream if using, and simmer for 2 minutes. Serve: Serve hot with roti or naan.",Indian,Veg,Easy,images/img9.jpg
Tandoori Chicken,"Chicken pieces, yogurt, ginger paste, garlic paste, red chili powder, turmeric powder, garam masala, lemon juice, mustard oil (or any cooking oil), salt","Prepare Marinade: In a bowl, mix yogurt, ginger-garlic paste, red chili powder, turmeric powder, garam masala, lemon juice, mustard oil, and salt. Marinate Chicken: Make slashes on chicken pieces and coat them thoroughly with the marinade. Let it marinate for at least 4 hours, preferably overnight. Preheat Oven/Grill: Preheat oven to 200°C (400°F) or prepare a grill. Cook Chicken: Place marinated chicken on a baking tray or grill rack. Cook for 25-30 minutes, turning occasionally, until cooked through and slightly charred. Serve: Serve hot with sliced onions, lemon wedges, and green chutney.",Indian,Non-Veg,Medium,images/img10.jpg
